Analysis,r_value,mZp_GeV,xsecXBR_pb
ATLAS-EXOT-2018-48,0.6666666666666666,4298.616437233407,-3.0928424948426327
ATLAS-EXOT-2018-48,0.6666666666666666,4329.742034215837,-3.1238602123975117
ATLAS-EXOT-2018-48,0.6666666666666666,4324.120603015075,-3.123785693038011
ATLAS-EXOT-2018-48,0.6666666666666666,4318.3290504423985,-3.1142714743091413
ATLAS-EXOT-2018-48,1.0,4033.475890694868,-2.832794991014448
ATLAS-EXOT-2018-48,1.0,4022.613065326633,-2.827858897694121
ATLAS-EXOT-2018-48,1.0,4014.0531010693467,-2.8142657617780196
ATLAS-EXOT-2018-48,1.0,4010.0502512562816,-2.8104724596492123
ATLAS-EXOT-2018-48,1.0,3997.4874371859296,-2.804548309533711
ATLAS-EXOT-2018-48,1.0,3990.3522257869827,-2.792836782311511
ATLAS-EXOT-2018-48,1.0,3984.9246231155785,-2.7882260783129205
ATLAS-EXOT-2018-48,1.0,3972.3618090452264,-2.779544135108308
ATLAS-EXOT-2018-48,1.0,3967.3156369840062,-2.771407802845002
ATLAS-EXOT-2018-48,1.0,3959.7989949748744,-2.7662684905832386
ATLAS-EXOT-2018-48,1.0,3947.249144353481,-2.7499788233784934
ATLAS-EXOT-2018-48,1.0,3947.236180904523,-2.749966552120358
ATLAS-EXOT-2018-48,1.0,3934.6733668341712,-2.7440482188940765
ATLAS-EXOT-2018-48,1.0,3924.8635745682,-2.728549843911985
ATLAS-EXOT-2018-48,1.0,3922.110552763819,-2.7259572492777093
ATLAS-EXOT-2018-48,1.0,3909.547738693467,-2.721363829372924
ATLAS-EXOT-2018-48,1.0,3900.8661399559332,-2.707120864445476
ATLAS-EXOT-2018-48,1.0,3896.9849246231156,-2.7038476919787295
ATLAS-EXOT-2018-48,1.0,3884.422110552764,-2.6976980772116272
ATLAS-EXOT-2018-48,1.0,3877.0902181802585,-2.6856918849789673
ATLAS-EXOT-2018-48,1.0,3871.859296482412,-2.6819677614565203
ATLAS-EXOT-2018-48,1.0,3859.296482412061,-2.670756126957548
ATLAS-EXOT-2018-48,1.0,3855.18584234595,-2.6642629055124587
ATLAS-EXOT-2018-48,1.0,3846.733668341709,-2.6599208533786105
ATLAS-EXOT-2018-48,1.0,3836.059762305578,-2.6428339260459497
ATLAS-EXOT-2018-48,1.0,3834.170854271357,-2.641026299693931
ATLAS-EXOT-2018-48,1.0,3821.6080402010057,-2.637614689288846
ATLAS-EXOT-2018-48,1.0,3811.761209107236,-2.621404946579441
ATLAS-EXOT-2018-48,1.0,3809.0452261306536,-2.6190073069726845
ATLAS-EXOT-2018-48,1.0,3796.4824120603016,-2.6146741003676097
ATLAS-EXOT-2018-48,1.0,3787.4346116532593,-2.5999759671129326
ATLAS-EXOT-2018-48,1.0,3783.9195979899496,-2.597328978134247
ATLAS-EXOT-2018-48,1.0,3771.356783919598,-2.588463955353215
ATLAS-EXOT-2018-48,1.0,3764.9948581938397,-2.578546987646424
ATLAS-EXOT-2018-48,1.0,3758.7939698492464,-2.575577566153904
ATLAS-EXOT-2018-48,1.0,3747.5352049814114,-2.5571180081799154
ATLAS-EXOT-2018-48,1.0,3746.2311557788944,-2.5558152695703633
ATLAS-EXOT-2018-48,1.0,3733.668341708543,-2.553629323916871
ATLAS-EXOT-2018-48,1.0,3722.776175020239,-2.5356890287134064
ATLAS-EXOT-2018-48,1.0,3721.1055276381912,-2.5341808225857507
ATLAS-EXOT-2018-48,1.0,3708.542713567839,-2.5309622943974697
ATLAS-EXOT-2018-48,1.0,3698.2334335947417,-2.514260049246898
ATLAS-EXOT-2018-48,1.0,3695.979899497487,-2.5126748099534155
ATLAS-EXOT-2018-48,1.0,3683.417085427136,-2.5061219104767827
ATLAS-EXOT-2018-48,1.0,3674.8146456815857,-2.492831069780389
ATLAS-EXOT-2018-48,1.0,3670.854271356784,-2.491112599199582
ATLAS-EXOT-2018-48,1.0,3658.9794371889443,-2.4714020903138803
ATLAS-EXOT-2018-48,1.0,3658.291457286432,-2.4707088899050027
ATLAS-EXOT-2018-48,1.0,3645.7286432160804,-2.4693962614451723
ATLAS-EXOT-2018-48,1.0,3633.922410508756,-2.4499731108473717
ATLAS-EXOT-2018-48,1.0,3633.165829145729,-2.4493263205116897
ATLAS-EXOT-2018-48,1.0,3620.603015075377,-2.4474004164205407
ATLAS-EXOT-2018-48,1.0,3608.935768741024,-2.4285441313808627
ATLAS-EXOT-2018-48,1.0,3608.0402010050248,-2.42794562637471
ATLAS-EXOT-2018-48,1.0,3595.4773869346736,-2.424264474123069
ATLAS-EXOT-2018-48,1.0,3584.5517023327516,-2.407115151914354
ATLAS-EXOT-2018-48,1.0,3582.9145728643216,-2.4064340050243564
ATLAS-EXOT-2018-48,1.0,3570.499182816492,-2.3856861724478455
