

# Contour value=5.00 
mPsiT_GeV,deltaM_GeV
1.4688e+03,3.9010e+02
1.4697e+03,3.9304e+02
1.4707e+03,3.9598e+02
1.4717e+03,3.9892e+02
1.4723e+03,4.0186e+02
1.4726e+03,4.0480e+02
1.4729e+03,4.0774e+02
1.4732e+03,4.1068e+02
1.4736e+03,4.1362e+02
1.4739e+03,4.1656e+02
1.4742e+03,4.1950e+02
1.4745e+03,4.2244e+02
1.4748e+03,4.2538e+02
1.4752e+03,4.2832e+02
1.4754e+03,4.3027e+02
1.4755e+03,4.3126e+02
1.4758e+03,4.3420e+02
1.4761e+03,4.3714e+02
1.4762e+03,4.4008e+02
1.4762e+03,4.4302e+02
1.4762e+03,4.4595e+02
1.4762e+03,4.4889e+02
1.4770e+03,4.5183e+02
1.4783e+03,4.5477e+02
1.4795e+03,4.5771e+02
1.4809e+03,4.6065e+02
1.4824e+03,4.6359e+02
1.4839e+03,4.6653e+02
1.4844e+03,4.6743e+02
1.4855e+03,4.6947e+02
1.4871e+03,4.7241e+02
1.4886e+03,4.7535e+02
1.4902e+03,4.7829e+02
1.4917e+03,4.8123e+02
1.4933e+03,4.8417e+02
1.4935e+03,4.8448e+02
1.4948e+03,4.8711e+02
1.4963e+03,4.9005e+02
1.4978e+03,4.9299e+02
1.4993e+03,4.9593e+02
1.5008e+03,4.9887e+02
1.4938e+03,5.0181e+02
1.4935e+03,5.0189e+02
1.4844e+03,5.0402e+02
1.4814e+03,5.0475e+02
1.4754e+03,5.0616e+02
1.4689e+03,5.0769e+02
1.4663e+03,5.0830e+02
1.4573e+03,5.1044e+02
1.4565e+03,5.1063e+02
1.4482e+03,5.1257e+02
1.4440e+03,5.1357e+02
1.4392e+03,5.1470e+02
1.4315e+03,5.1651e+02
1.4302e+03,5.1683e+02
1.4211e+03,5.1895e+02
1.4190e+03,5.1945e+02
1.4121e+03,5.2107e+02
1.4064e+03,5.2239e+02
1.4030e+03,5.2305e+02
1.3940e+03,5.2515e+02
1.3932e+03,5.2533e+02
1.3849e+03,5.2673e+02
1.3768e+03,5.2827e+02
1.3759e+03,5.2853e+02
